"CTYNAME","pop2021","GrowthRate","popDensity"
"Calhoun County","5861","-12.4832","22.6626"
"Miller County","5786","-5.6579","22.3726"
"Schley County","5311","5.7968","20.5359"
"Warren County","5268","-8.8897","20.3697"
"Echols County","4018","0.0747","15.5363"
"Glascock County","2959","-3.8974","11.4415"
"Baker County","2942","-14.2524","11.3758"
"Clay County","2734","-13.9440","10.5715"
"Webster County","2609","-6.1848","10.0882"
"Quitman County","2377","-5.3742","9.1911"
"Taliaferro County","1387","-18.5555","5.3631"
